ID,Tipo,"Descripción corta",Descripción,Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3"
52810,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",535,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52811,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",536,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52812,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",537,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52813,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",538,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52814,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",539,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52815,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",540,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52816,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",541,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52817,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",542,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52818,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",543,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52819,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",544,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52820,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",545,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52821,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",546,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52822,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",547,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52823,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",548,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52824,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",549,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52825,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",550,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52826,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",551,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52827,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",552,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52828,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",553,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52829,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",554,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52830,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",555,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52831,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",556,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52832,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",557,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52833,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",558,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52834,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",559,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52835,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",560,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52836,variable,"<span style=""font-weight: 400;"">Tubo cuadrado liso galvanizado de acero con calidad s 235 (st37) que le confiere una gran resistencia y durabilidad. Entre otros usos, este producto es ideal para usar en la construcción de estructuras metálicas, ya que ofrece una excelente resistencia a la corrosión y a la intemperie.</span>","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)\n\n<span style=""font-weight: 400;"">El <a href=""https://www.rejasmodernas.com/tubo-cuadrado-galvanizado/"">tubo cuadrado de hierro galvanizado</a> es una pieza de metal resistente y duradera que se utiliza en una variedad de aplicaciones. El hierro galvanizado es un material muy popular debido a su resistencia a la corrosión y a la capacidad de resistir el agua y el calor. El tubo cuadrado de hierro galvanizado es ideal para usar</span><span style=""font-weight: 400;""> en</span><span style=""font-weight: 400;""> proyectos de construcción, ya que es muy resistente y puede soportar mucho peso. También es perfecto para usar en aplicaciones industriales y comerciales, ya que es muy duradero y puede resistir el calor y el agua. También son fáciles de pintar o soldar.</span>\n\n<span style=""font-weight: 400;"">El hierro galvanizado es una aleación de hierro y cinc que se utiliza en una variedad de aplicaciones. El galvanizado se produce mediante el baño de una pieza de hierro en una solución de cinc. Esto se hace para proteger el hierro de la oxidación. El cinc actúa como una capa protectora que evita que el hierro se oxide. El galvanizado se utiliza en una variedad de aplicaciones, incluyendo la fabricación de tuberías, postes, vigas, estructuras metálicas, tanques de agua, puentes, edificios, automóviles, electrodomésticos, equipos electrónicos, maquinaria y mucho más.</span>\n<h2>Calidad del acero</h2>\n<span style=""font-weight: 400;"">Los los perfiles de acero a medida de <a href=""https://www.rejasmodernas.com/"">Metalhive</a> están hechos de acero de calidad s235 (st37) y están disponibles en una amplia variedad de medidas y longitudes. </span><span style=""font-weight: 400;"">El tubo cuadrado de hierro galvanizado con calidad del acero s 235 (st37) es un producto de alta calidad que puede ser <a href=""https://www.rejasmodernas.com/disenos-a-medida/"">cortado a medida</a> para asegurar un ajuste perfecto. Este producto está hecho de una aleación de hierro y carbono que se ha galvanizado para protegerlo de la corrosión y asegurar su larga vida útil. El tubo cuadrado de hierro galvanizado es perfecto para aplicaciones en las que se requiere una alta resistencia y durabilidad, y está disponible en una amplia gama de tamaños para satisfacer las necesidades de cualquier proyecto. En nuestra <a href=""https://www.rejasmodernas.com/tienda/"">tienda online</a>, también puede encontrar <a href=""https://www.rejasmodernas.com/tubos-hierro/"">tubos de hierro soldado</a> <a href=""https://www.rejasmodernas.com/tubo-redondo-galvanizado/"">redondos</a> y <a href=""https://www.rejasmodernas.com/tubo-rectangular-galvanizado/"">rectangulares</a> galvanizados entre otros <a href=""https://www.rejasmodernas.com/tienda/"">productos</a>.</span>\n<h2>Tubo cuadrado galvanizado cortado a medida</h2>\n<span style=""font-weight: 400;"">Los perfiles de acero galvanizado de <a href=""https://www.rejasmodernas.com/"">Metalhive</a> están disponibles en una amplia variedad de medidas y longitudes. Pueden ser <a href=""https://www.rejasmodernas.com/disenos-a-medida/"">cortados a medida</a> para que se ajusten a sus necesidades específicas. Ofrecemos un servicio de corte a medida y personalización para todos nuestros perfiles de acero. </span>\n\n<span style=""font-weight: 400;"">Nuestros <a href=""https://www.rejasmodernas.com/tienda/"">perfiles de acero</a> son la mejor opción para construir y reforzar estructuras. Los tubos de hierro cuadrado galvanizado de <a href=""https://www.rejasmodernas.com/"">MetalHive</a> son de la más alta calidad, lo que los hace perfectos para aplicaciones en exteriores e interiores. No dudes en <a href=""https://www.rejasmodernas.com/contacto/"">contactarnos</a> si necesitas más información sobre nuestros productos.</span>",530,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,"Calidad del acero","s 235 (st37)",1,1,"Corte a medida",Disponible,1,1
52837,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",531,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52838,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",533,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52839,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",532,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52840,variable,"Tubo liso galvanizado de acero soldado con calidad s 235 (st37)","Tubo liso galvanizado de acero soldado con calidad s 235 (st37)",534,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,,,,,,,
52842,variation,,,1,Color,Personalizado,,1,,,,,,,,
52843,variation,,,2,Color,Oxido,,1,,,,,,,,
52844,variation,,,3,Color,Hierro,,1,,,,,,,,
52845,variation,,,4,Color,Blanco,,1,,,,,,,,
52846,variation,,,5,Color,Negro,,1,,,,,,,,
52847,variation,,,1,Color,Personalizado,,1,,,,,,,,
52848,variation,,,2,Color,Oxido,,1,,,,,,,,
52849,variation,,,3,Color,Hierro,,1,,,,,,,,
52850,variation,,,4,Color,Blanco,,1,,,,,,,,
52851,variation,,,5,Color,Negro,,1,,,,,,,,
52853,variation,,,2,Color,Oxido,,1,,,,,,,,
52854,variation,,,3,Color,Hierro,,1,,,,,,,,
52855,variation,,,4,Color,Blanco,,1,,,,,,,,
52856,variation,,,5,Color,Negro,,1,,,,,,,,
52852,variation,,,1,Color,Personalizado,,1,,,,,,,,
52858,variation,,,2,Color,Oxido,,1,,,,,,,,
52859,variation,,,3,Color,Hierro,,1,,,,,,,,
52860,variation,,,4,Color,Blanco,,1,,,,,,,,
52861,variation,,,5,Color,Negro,,1,,,,,,,,
52857,variation,,,1,Color,Personalizado,,1,,,,,,,,
52865,variation,,,4,Color,Blanco,,1,,,,,,,,
52866,variation,,,5,Color,Negro,,1,,,,,,,,
52862,variation,,,1,Color,Personalizado,,1,,,,,,,,
52863,variation,,,2,Color,Oxido,,1,,,,,,,,
52864,variation,,,3,Color,Hierro,,1,,,,,,,,
52871,variation,,,5,Color,Negro,,1,,,,,,,,
52867,variation,,,1,Color,Personalizado,,1,,,,,,,,
52868,variation,,,2,Color,Oxido,,1,,,,,,,,
52869,variation,,,3,Color,Hierro,,1,,,,,,,,
52870,variation,,,4,Color,Blanco,,1,,,,,,,,
52872,variation,,,1,Color,Personalizado,,1,,,,,,,,
52873,variation,,,2,Color,Oxido,,1,,,,,,,,
52874,variation,,,3,Color,Hierro,,1,,,,,,,,
52875,variation,,,4,Color,Blanco,,1,,,,,,,,
52876,variation,,,5,Color,Negro,,1,,,,,,,,
52877,variation,,,1,Color,Personalizado,,1,,,,,,,,
52878,variation,,,2,Color,Oxido,,1,,,,,,,,
52879,variation,,,3,Color,Hierro,,1,,,,,,,,
52880,variation,,,4,Color,Blanco,,1,,,,,,,,
52881,variation,,,5,Color,Negro,,1,,,,,,,,
52882,variation,,,1,Color,Personalizado,,1,,,,,,,,
52883,variation,,,2,Color,Oxido,,1,,,,,,,,
52884,variation,,,3,Color,Hierro,,1,,,,,,,,
52885,variation,,,4,Color,Blanco,,1,,,,,,,,
52886,variation,,,5,Color,Negro,,1,,,,,,,,
52887,variation,,,1,Color,Personalizado,,1,,,,,,,,
52888,variation,,,2,Color,Oxido,,1,,,,,,,,
52889,variation,,,3,Color,Hierro,,1,,,,,,,,
52890,variation,,,4,Color,Blanco,,1,,,,,,,,
52891,variation,,,5,Color,Negro,,1,,,,,,,,
52892,variation,,,1,Color,Personalizado,,1,,,,,,,,
52893,variation,,,2,Color,Oxido,,1,,,,,,,,
52894,variation,,,3,Color,Hierro,,1,,,,,,,,
52895,variation,,,4,Color,Blanco,,1,,,,,,,,
52896,variation,,,5,Color,Negro,,1,,,,,,,,
52897,variation,,,1,Color,Personalizado,,1,,,,,,,,
52898,variation,,,2,Color,Oxido,,1,,,,,,,,
52899,variation,,,3,Color,Hierro,,1,,,,,,,,
52900,variation,,,4,Color,Blanco,,1,,,,,,,,
52901,variation,,,5,Color,Negro,,1,,,,,,,,
52906,variation,,,5,Color,Negro,,1,,,,,,,,
52902,variation,,,1,Color,Personalizado,,1,,,,,,,,
52903,variation,,,2,Color,Oxido,,1,,,,,,,,
52904,variation,,,3,Color,Hierro,,1,,,,,,,,
52905,variation,,,4,Color,Blanco,,1,,,,,,,,
52907,variation,,,1,Color,Personalizado,,1,,,,,,,,
52908,variation,,,2,Color,Oxido,,1,,,,,,,,
52909,variation,,,3,Color,Hierro,,1,,,,,,,,
52910,variation,,,4,Color,Blanco,,1,,,,,,,,
52911,variation,,,5,Color,Negro,,1,,,,,,,,
52915,variation,,,4,Color,Blanco,,1,,,,,,,,
52916,variation,,,5,Color,Negro,,1,,,,,,,,
52912,variation,,,1,Color,Personalizado,,1,,,,,,,,
52913,variation,,,2,Color,Oxido,,1,,,,,,,,
52914,variation,,,3,Color,Hierro,,1,,,,,,,,
52917,variation,,,1,Color,Personalizado,,1,,,,,,,,
52918,variation,,,2,Color,Oxido,,1,,,,,,,,
52919,variation,,,3,Color,Hierro,,1,,,,,,,,
52920,variation,,,4,Color,Blanco,,1,,,,,,,,
52921,variation,,,5,Color,Negro,,1,,,,,,,,
52922,variation,,,1,Color,Personalizado,,1,,,,,,,,
52923,variation,,,2,Color,Oxido,,1,,,,,,,,
52924,variation,,,3,Color,Hierro,,1,,,,,,,,
52925,variation,,,4,Color,Blanco,,1,,,,,,,,
52926,variation,,,5,Color,Negro,,1,,,,,,,,
52930,variation,,,4,Color,Blanco,,1,,,,,,,,
52931,variation,,,5,Color,Negro,,1,,,,,,,,
52927,variation,,,1,Color,Personalizado,,1,,,,,,,,
52928,variation,,,2,Color,Oxido,,1,,,,,,,,
52929,variation,,,3,Color,Hierro,,1,,,,,,,,
52933,variation,,,2,Color,Oxido,,1,,,,,,,,
52934,variation,,,3,Color,Hierro,,1,,,,,,,,
52935,variation,,,4,Color,Blanco,,1,,,,,,,,
52936,variation,,,5,Color,Negro,,1,,,,,,,,
52932,variation,,,1,Color,Personalizado,,1,,,,,,,,
52940,variation,,,4,Color,Blanco,,1,,,,,,,,
52941,variation,,,5,Color,Negro,,1,,,,,,,,
52937,variation,,,1,Color,Personalizado,,1,,,,,,,,
52938,variation,,,2,Color,Oxido,,1,,,,,,,,
52939,variation,,,3,Color,Hierro,,1,,,,,,,,
52942,variation,,,1,Color,Personalizado,,1,,,,,,,,
52943,variation,,,2,Color,Oxido,,1,,,,,,,,
52944,variation,,,3,Color,Hierro,,1,,,,,,,,
52945,variation,,,4,Color,Blanco,,1,,,,,,,,
52946,variation,,,5,Color,Negro,,1,,,,,,,,
52948,variation,,,2,Color,Oxido,,1,,,,,,,,
52949,variation,,,3,Color,Hierro,,1,,,,,,,,
52950,variation,,,4,Color,Blanco,,1,,,,,,,,
52951,variation,,,5,Color,Negro,,1,,,,,,,,
52947,variation,,,1,Color,Personalizado,,1,,,,,,,,
52952,variation,,,1,Color,Personalizado,,1,,,,,,,,
52953,variation,,,2,Color,Oxido,,1,,,,,,,,
52954,variation,,,3,Color,Hierro,,1,,,,,,,,
52955,variation,,,4,Color,Blanco,,1,,,,,,,,
52956,variation,,,5,Color,Negro,,1,,,,,,,,
52957,variation,,,1,Color,Personalizado,,1,,,,,,,,
52958,variation,,,2,Color,Oxido,,1,,,,,,,,
52959,variation,,,3,Color,Hierro,,1,,,,,,,,
52960,variation,,,4,Color,Blanco,,1,,,,,,,,
52961,variation,,,5,Color,Negro,,1,,,,,,,,
52966,variation,,,5,Color,Negro,,1,,,,,,,,
52962,variation,,,1,Color,Personalizado,,1,,,,,,,,
52963,variation,,,2,Color,Oxido,,1,,,,,,,,
52964,variation,,,3,Color,Hierro,,1,,,,,,,,
52965,variation,,,4,Color,Blanco,,1,,,,,,,,
52970,variation,,,4,Color,Blanco,,1,,,,,,,,
52971,variation,,,5,Color,Negro,,1,,,,,,,,
52967,variation,,,1,Color,Personalizado,,1,,,,,,,,
52968,variation,,,2,Color,Oxido,,1,,,,,,,,
52969,variation,,,3,Color,Hierro,,1,,,,,,,,
52973,variation,,,2,Color,Oxido,,1,,,,,,,,
52974,variation,,,3,Color,Hierro,,1,,,,,,,,
52975,variation,,,4,Color,Blanco,,1,,,,,,,,
52976,variation,,,5,Color,Negro,,1,,,,,,,,
52972,variation,,,1,Color,Personalizado,,1,,,,,,,,
52980,variation,,,4,Color,Blanco,,1,,,,,,,,
52981,variation,,,5,Color,Negro,,1,,,,,,,,
52977,variation,,,1,Color,Personalizado,,1,,,,,,,,
52978,variation,,,2,Color,Oxido,,1,,,,,,,,
52979,variation,,,3,Color,Hierro,,1,,,,,,,,
52984,variation,,,3,Color,Hierro,,1,,,,,,,,
52985,variation,,,4,Color,Blanco,,1,,,,,,,,
52986,variation,,,5,Color,Negro,,1,,,,,,,,
52982,variation,,,1,Color,Personalizado,,1,,,,,,,,
52983,variation,,,2,Color,Oxido,,1,,,,,,,,
52989,variation,,,3,Color,Hierro,,1,,,,,,,,
52990,variation,,,4,Color,Blanco,,1,,,,,,,,
52991,variation,,,5,Color,Negro,,1,,,,,,,,
52987,variation,,,1,Color,Personalizado,,1,,,,,,,,
52988,variation,,,2,Color,Oxido,,1,,,,,,,,
52992,variation,,,1,Color,Personalizado,,1,,,,,,,,
52993,variation,,,2,Color,Oxido,,1,,,,,,,,
52994,variation,,,3,Color,Hierro,,1,,,,,,,,
52995,variation,,,4,Color,Blanco,,1,,,,,,,,
52996,variation,,,5,Color,Negro,,1,,,,,,,,
